Number,Chapter,School,District,Founding Date
315,Nu Gamma,Robert Morris University,Northeast,8/14/2012
316,Nu Delta,McMurry University,Southwest,5/4/2013
317,Nu Epsilon,Idaho State University,Western,5/11/2013
318,Nu Zeta,Pennsylvania Western University Edinboro,Northeast,12/11/2013
319,Nu Eta,Saint Augustine39s University,Southeast,3/2/2014
320,Nu Theta,Northeastern University,Northeast,4/13/2014
321,Nu Iota,Elizabeth City State University,Southeast,5/31/2014
322,Nu Kappa,Georgia Southern University,Southeast,10/19/2014
323,Nu Lambda,Arkansas State University 45 Beebe,Southwest,10/19/2014
324,Nu Mu,Kennesaw State University,Southeast,4/16/2015
325,Nu Nu,University of Alabama,Southeast,4/21/2015
326,Nu Xi,University of Illinois Urbana-Champaign,North Central,3/13/2016
327,Nu Omicron,University of New Haven,Northeast,4/24/2016
328,Nu Pi,University of Illinois Chicago,North Central,5/1/2016
329,Nu Rho,Old Dominion University,Northeast,4/19/2017
330,Nu Sigma,"California State Polytechnic University, Pomona",Western,11/18/2017
331,Nu Tau,High Point University,Southeast,4/21/2018
332,Nu Upsilon,Ball State University,North Central,12/1/2018
333,Nu Phi,Schreiner University,Southwest,5/5/2019
334,Nu Chi,Wilkes University,Northeast,5/9/2019
335,Nu Psi,Chicago State University,North Central,5/8/2020
336,Nu Omega,Hampton University,Northeast,4/14/2021
337,Xi Alpha,Shepherd University,Northeast,4/26/2021
338,Xi Beta,University of North Texas,Southwest,4/28/2021
339,Xi Gamma,Cleveland State University,North Central,1/30/2022
340,Xi Delta,Stony Brook University,Northeast,12/4/2022
341,Xi Epsilon,Florida Memorial University,Southeast,4/13/2023
342,Xi Zeta,Widener University,Northeast,4/17/2023
343,Xi Eta,Austin Peay State University,Southeast,4/27/2024
